ID,i
849725,341
849908,3020
850159,2958
850519,2301
850964,1385
851396,1981
851874,2290
851889,3973
852753,374
853324,345
854839,2937
854904,614
854964,2816
855488,303
856250,2291
856252,448
856446,2171
856626,2306
856997,198
858038,1483
858490,2986
858608,2256
859626,3976
859808,1436
859825,2307
860450,2395
860452,490
860628,489
860713,2257
861087,2222
861654,3592
862058,187
862187,1347
862628,2358
863198,2471
863498,3067
863637,2019
864124,3818
865058,2475
865420,1079
868068,2336
868663,1526
869011,1774
869891,3597
870620,3522
871257,3615
871423,443
872373,2250
872567,2973
872825,2823
872872,382
873407,3751
874308,2935
874405,2896
875924,2782
876053,425
876270,1390
876386,2292
878244,3608
878415,631
878566,400
879281,2785
879368,2261
879819,629
880457,1387
880531,393
880940,3039
881206,3715
881532,1072
881646,3082
882198,3135
882505,2979
882514,3604
883264,2483
883418,2393
883444,506
884345,2236
884726,2335
884735,2977
884940,1394
885687,3594
885734,3014
886950,1127
887045,2329
887753,1340
887755,3970
887855,2984
889205,2850
889383,2337
889659,498
890124,3971
890192,2371
890325,3665
890662,641
890841,2987
890984,2254
892998,165
893764,2396
895142,2416
895293,642
895496,1382
896953,3795
897299,2394
897743,2911
898354,639
898541,512
899537,1381
900353,1392
900425,509
901487,1388
902099,416
903092,3622
904153,3628
904278,2139
904792,2951
904947,2247
905166,2388
905416,3638
905676,3127
905927,3692
906149,3633
906578,491
906612,3019
907852,499
908022,2988
908032,2030
908248,2945
908790,1393
908883,1383
909228,3641
909256,1379
909560,2488
909888,2262
910004,2397
910029,1386
910400,3098
910848,2343
911723,2253
912005,2285
912632,3646
912649,1378
912859,3024
912946,3466
913115,2281
913374,2258
913409,2620
913465,2288
913673,2989
913755,3625
913945,2377
914572,1396
915011,2282
915041,3707
915144,2322
915357,2999
915885,3065
915989,508
916005,3123
916518,2607
916982,1397
917401,3817
918070,2583
918542,3084
918850,3980
919030,3704
919136,3749
919147,511
919208,3134
919414,3473
920788,2300
920938,2615
921081,3636
921233,2289
921279,2422
921761,2332
922078,3558
922222,515
922433,3637
923300,2907
923854,3696
924566,2841
925351,3952
926105,1389
926498,3582
926828,3954
927024,3644
928556,2401
928600,2331
929353,3112
929532,2515
929682,2947
930093,497
930422,2296
930432,2870
930796,3025
931078,2339
931677,3553
931801,3669
932374,3953
933352,3721
933363,3527
933658,3648
933659,2887
933780,3074
933976,3668
933997,2966
934234,2341
934339,3773
934343,503
934419,2860
934667,2593
934843,3518
935543,2833
936339,3884
936454,2993
936644,3712
937001,3061
937194,3015
937557,2614
938102,3632
939014,3078
939172,2323
940048,3892
941454,3053
942263,3810
942395,3713
942572,3895
943928,2630
944031,3894
944255,3948
944497,2995
944796,3222
946085,3161
946272,2954
946476,3811
946957,500
947471,3722
948105,3887
948765,3029
948864,495
949132,3664
949151,3891
949619,2496
950319,3814
950643,3966
950772,3955
950905,2624
951207,3740
951426,3718
952044,3710
952592,2490
953044,3009
953097,3108
953656,3464
953879,2417
953926,3949
956525,3101
956585,2479
956746,3184
956962,3589
957291,3675
957333,3144
957935,2530
958087,3662
958542,2974
958546,3248
958682,3002
958853,3450
958959,2510
959179,3950
959304,3068
959416,3457
959558,3188
959767,2428
960349,3269
960437,3124
961107,3967
961208,3883
961220,3969
962054,3462
962101,3196
962625,2961
962851,3503
963819,3651
963837,504
964436,3533
964637,3181
964780,3968
964942,3960
965224,3100
965226,2955
966231,3477
966659,3173
966973,3663
967393,3758
967738,3655
968194,3040
968241,3066
969348,3684
969735,2621
969825,3028
969883,3150
970077,2981
970232,3512
970405,3964
970584,3885
970695,3394
970715,3591
970795,3807
971246,3546
971340,3790
971360,3889
971458,3962
972387,3672
973211,3774
973644,3734
973983,2599
974185,3211
974555,3963
974850,3724
975133,3043
975456,2425
976485,3688
977224,3548
977626,2499
977680,3038
978415,3206
978444,2595
979233,3515
979253,3093
979356,3472
979372,3766
979571,3561
980284,3956
980641,2460
980722,3364
980910,3764
981441,3557
981552,3122
982004,3201
982563,3197
982990,3769
983135,3965
983360,3502
983575,3572
983801,3500
984181,3321
984339,3036
984811,3587
985197,2495
985892,3660
986007,3087
986571,3075
986629,3780
986701,3747
986752,3886
987573,3957
987588,3748
987849,3539
988550,3484
989105,3523
989640,3951
989672,3318
990154,3242
990363,3787
990597,3666
992008,3762
992110,3791
992147,2497
992340,3959
992437,3809
993201,3156
993207,2448
993805,3386
994475,3537
994707,2532
995126,3726
995219,3128
995278,3370
995941,3076
996455,3246
996834,3727
996963,3191
997300,3193
997351,3890
997412,3803
998087,3114
998781,3760
999621,3297
999693,3801
1000894,3576
1001309,3319
1002054,3110
1002786,3107
1002909,3096
1003627,2500
1003852,3545
1003860,3505
1004988,3316
1005059,2467
1005199,3234
1007468,3168
1008790,3686
1011026,2517
1011872,3187
1012151,2432
1013607,3526
1013783,3798
1014035,3805
1014235,3192
1015934,3325
1017425,2429
1017482,3742
1018631,2446
1018757,2464
1018850,2449
1020790,2427
1021276,3528
1021742,3541
1023312,3262
1024095,2503
1025621,2509
1026757,2463
1027650,3126
1027878,2598
1028869,3183
1030922,3771
1032553,2433
1034875,3058
1035321,3137
1035849,3333
1036595,3799
1036639,3800
1037259,3549
1037540,3677
1041483,3410
1041590,3753
1042830,2960
1043557,3329
1044729,3563
1044900,2466
1045700,3510
1045904,3250
1047454,3327
1049136,3286
1052385,3035
1053990,3583
1055541,3555
1057210,3302
1060508,3813
1061421,3062
1066042,3516
1069258,3425
1070231,3532
1075086,3054
1075324,3565
1075948,3379
1082900,3732
1083894,3535
1086000,3200
1093775,3433
1094060,3585
1107395,3552
1118400,3534
